Driver,Team,Q1,Q2,Q3,Start,Finish,Track,Rain,D_Elo,T_Elo,Race_Id
alonso,mclaren,72.979,72.856,nan,14.0,nan,Canadian Grand Prix,False,1308.76,1850.44,6
brendon_hartley,toro_rosso,72.587,72.635,nan,12.0,nan,Canadian Grand Prix,False,1192.73,1838.74,6
stroll,williams,73.59,nan,nan,17.0,nan,Canadian Grand Prix,False,1215.56,1816.92,6
hamilton,mercedes,91.271,90.645,90.029,1.0,1.0,French Grand Prix,True,1318.57,2028.04,7
max_verstappen,red_bull,91.531,90.818,90.705,4.0,2.0,French Grand Prix,True,1263.75,1936.73,7
raikkonen,ferrari,91.567,90.772,91.057,6.0,3.0,French Grand Prix,True,1291.04,1946.6,7
ricciardo,red_bull,91.91,91.538,90.895,5.0,4.0,French Grand Prix,True,1265.33,1938.21,7
vettel,ferrari,91.82,90.751,90.4,3.0,5.0,French Grand Prix,True,1302.55,1945.8,7
kevin_magnussen,haas,92.169,91.51,92.93,9.0,6.0,French Grand Prix,True,1236.73,1856.12,7
bottas,mercedes,91.776,91.227,90.147,2.0,7.0,French Grand Prix,True,1234.5,2024.82,7
sainz,renault,92.394,92.016,92.126,7.0,8.0,French Grand Prix,True,1225.52,1890.46,7
hulkenberg,renault,92.949,92.115,nan,12.0,9.0,French Grand Prix,True,1222.53,1893.92,7
leclerc,sauber,92.538,92.055,92.635,8.0,10.0,French Grand Prix,True,1219.12,1840.68,7
grosjean,haas,92.083,91.472,nan,10.0,11.0,French Grand Prix,True,1210.32,1855.65,7
vandoorne,mclaren,93.162,nan,nan,17.0,12.0,French Grand Prix,True,1223.59,1855.02,7
ericsson,sauber,92.804,92.82,nan,15.0,13.0,French Grand Prix,True,1235.37,1842.99,7
brendon_hartley,toro_rosso,93.025,nan,nan,20.0,14.0,French Grand Prix,True,1198.13,1842.79,7
sirotkin,williams,93.636,nan,nan,18.0,15.0,French Grand Prix,True,1200.57,1819.19,7
alonso,mclaren,92.976,nan,nan,16.0,16.0,French Grand Prix,True,1308.76,1855.02,7
stroll,williams,93.729,nan,nan,19.0,17.0,French Grand Prix,True,1215.56,1819.19,7
perez,force_india,92.692,92.454,nan,13.0,nan,French Grand Prix,True,1220.75,1871.13,7
ocon,force_india,92.786,92.075,nan,11.0,nan,French Grand Prix,True,1199.51,1871.13,7
gasly,toro_rosso,92.447,92.46,nan,14.0,nan,French Grand Prix,True,1199.04,1842.79,7
max_verstappen,red_bull,64.273,64.001,63.84,4.0,1.0,Austrian Grand Prix,False,1267.77,1941.22,8
raikkonen,ferrari,64.234,63.975,63.66,3.0,2.0,Austrian Grand Prix,False,1293.31,1947.51,8
vettel,ferrari,64.347,63.544,63.464,6.0,3.0,Austrian Grand Prix,False,1306.14,1950.2,8
grosjean,haas,64.242,64.059,63.892,5.0,4.0,Austrian Grand Prix,False,1211.97,1856.89,8
kevin_magnussen,haas,64.46,64.291,64.051,8.0,5.0,Austrian Grand Prix,False,1240.26,1859.54,8
ocon,force_india,65.148,64.845,nan,11.0,6.0,Austrian Grand Prix,False,1205.39,1875.54,8
perez,force_india,65.279,nan,nan,16.0,7.0,Austrian Grand Prix,False,1230.42,1882.79,8
alonso,mclaren,64.965,65.058,nan,13.0,8.0,Austrian Grand Prix,False,1314.71,1859.49,8
